,PM2.5,PM10,CO,NO2,SO2,O3,����,ѹǿ,��ˮ��,�¶�,ʪ��,time
52,47.0,100.0,0.6,59.0,16.0,83.0,2.9,1022.4,95.8,11.0,91.0,2018/11/16 17:00
53,60.0,117.0,0.6,54.0,16.0,84.0,2.8,1022.7,95.8,10.0,92.0,2018/11/16 18:00
54,52.0,111.0,0.7,64.0,16.0,84.0,1.9,1023.3,95.8,11.0,86.0,2018/11/16 19:00
55,44.0,93.0,0.7,47.0,15.0,61.0,2.3,1023.5,95.8,11.0,79.0,2018/11/16 20:00
56,44.0,89.0,0.7,47.0,15.0,69.0,1.0,1023.4,95.8,11.0,80.0,2018/11/16 21:00
57,46.0,94.0,0.7,54.0,16.0,83.0,0.5,1023.7,95.8,10.0,80.0,2018/11/16 22:00
58,44.0,91.0,0.7,50.0,15.0,79.0,0.8,1023.7,95.8,10.0,80.0,2018/11/16 23:00
59,46.0,97.0,0.7,46.0,16.0,37.0,0.8,1023.9,95.8,10.0,78.0,2018/11/17 0:00
60,38.0,75.0,0.7,44.0,15.0,37.0,0.2,1023.9,95.8,10.0,76.0,2018/11/17 1:00
61,20.0,40.0,0.6,41.0,15.0,40.0,0.5,1023.1,95.8,10.0,73.0,2018/11/17 2:00
62,17.0,33.0,0.6,37.0,15.0,45.0,0.5,1022.6,95.8,9.0,74.0,2018/11/17 3:00
63,20.0,36.0,0.6,45.0,15.0,39.0,0.6,1022.5,95.8,9.0,76.0,2018/11/17 4:00
64,30.0,58.0,0.6,48.0,15.0,79.0,0.2,1022.8,95.8,9.0,77.0,2018/11/17 5:00
65,27.0,48.0,0.6,55.0,15.0,78.0,0.3,1022.9,95.8,9.0,77.0,2018/11/17 6:00
66,26.0,54.0,0.7,63.0,16.0,81.0,0.7,1023.1,95.8,9.0,77.0,2018/11/17 7:00
67,30.0,55.0,0.6,62.0,16.0,81.0,0.4,1022.8,95.9,9.0,77.0,2018/11/17 8:00
68,27.0,49.0,0.7,64.0,16.0,82.0,0.6,1022.6,95.9,12.0,67.0,2018/11/17 9:00
69,26.0,46.0,0.7,59.0,15.0,83.0,2.3,1024.2,95.9,12.0,65.0,2018/11/17 10:00
70,29.0,57.0,0.7,61.0,16.0,88.0,0.9,1023.6,95.9,12.0,68.0,2018/11/17 11:00
71,33.0,66.0,0.7,61.0,15.0,87.0,0.9,1021.8,95.9,12.0,68.0,2018/11/17 12:00
72,32.0,63.0,0.7,58.0,15.0,89.0,0.5,1020.6,95.9,13.0,67.0,2018/11/17 13:00
73,31.0,57.0,0.7,65.0,15.0,89.0,0.7,1020.5,95.9,13.0,66.0,2018/11/17 14:00
74,29.0,54.0,0.7,77.0,16.0,89.0,0.4,1020.3,95.9,13.0,69.0,2018/11/17 15:00
75,28.0,50.0,0.7,72.0,16.0,90.0,0.9,1020.4,95.9,13.0,68.0,2018/11/17 16:00
76,28.0,52.0,0.6,69.0,14.0,89.0,0.1,1020.0,95.9,12.0,70.0,2018/11/17 17:00
77,39.0,75.0,0.7,78.0,16.0,89.0,0.4,1020.5,95.9,12.0,72.0,2018/11/17 18:00
78,43.0,89.0,0.7,83.0,16.0,92.0,0.6,1020.3,95.9,12.0,75.0,2018/11/17 19:00
79,48.0,97.0,0.7,80.0,15.0,88.0,0.3,1020.6,96.4,11.0,88.0,2018/11/17 20:00
80,49.0,101.0,0.6,79.0,16.0,87.0,0.3,1021.1,96.9,10.0,89.0,2018/11/17 21:00
81,52.0,102.0,0.7,74.0,15.0,85.0,0.7,1020.9,100.7,10.0,95.0,2018/11/17 22:00
82,54.0,110.0,0.6,72.0,15.0,85.0,0.6,1021.3,102.5,10.0,94.0,2018/11/17 23:00
83,47.0,94.0,0.7,64.0,15.0,84.0,0.2,1020.9,106.3,9.0,96.0,2018/11/18 0:00
84,44.0,87.0,0.6,56.0,16.0,82.0,0.6,1020.8,107.7,9.0,96.0,2018/11/18 1:00
85,40.0,81.0,0.6,44.0,15.0,45.0,0.3,1020.6,109.3,9.0,95.0,2018/11/18 2:00
86,44.0,88.0,0.6,53.0,15.0,58.0,0.2,1020.7,109.3,9.0,96.0,2018/11/18 3:00
87,43.0,85.0,0.6,46.0,15.0,38.0,0.6,1019.8,109.3,8.0,96.0,2018/11/18 4:00
88,41.0,81.0,0.7,45.0,15.0,39.0,0.2,1019.6,109.3,8.0,95.0,2018/11/18 5:00
89,44.0,91.0,0.6,48.0,15.0,69.0,0.3,1019.5,109.3,8.0,96.0,2018/11/18 6:00
90,41.0,81.0,0.6,50.0,15.0,41.0,0.6,1020.3,109.3,8.0,92.0,2018/11/18 7:00
91,39.0,76.0,0.6,56.0,16.0,83.0,0.1,1021.0,109.6,9.0,94.0,2018/11/18 8:00
92,41.0,80.0,0.7,66.0,15.0,83.0,0.2,1022.0,111.8,9.0,96.0,2018/11/18 9:00
93,44.0,87.0,0.6,68.0,15.0,82.0,0.3,1021.6,115.4,9.0,96.0,2018/11/18 10:00
94,42.0,85.0,0.7,70.0,16.0,83.0,1.1,1021.3,116.5,9.0,95.0,2018/11/18 11:00
95,42.0,88.0,0.7,68.0,16.0,82.0,0.4,1020.6,118.4,9.0,96.0,2018/11/18 12:00
96,46.0,96.0,0.7,70.0,15.0,82.0,0.3,1019.9,118.9,9.0,95.0,2018/11/18 13:00
97,45.0,89.0,0.6,63.0,16.0,86.0,0.3,1019.4,120.2,9.0,94.0,2018/11/18 14:00
98,47.0,97.0,0.7,69.0,17.0,86.0,0.6,1019.8,121.1,9.0,95.0,2018/11/18 15:00
99,48.0,97.0,0.7,64.0,15.0,89.0,1.2,1019.9,121.3,9.0,94.0,2018/11/18 16:00
100,48.0,100.0,0.7,73.0,16.0,86.0,0.8,1020.3,121.3,9.0,95.0,2018/11/18 17:00
101,52.0,106.0,0.6,81.0,16.0,86.0,0.6,1021.0,121.5,9.0,94.0,2018/11/18 18:00
102,58.0,111.0,0.7,89.0,16.0,84.0,0.3,1021.2,121.7,9.0,96.0,2018/11/18 19:00
103,62.0,122.0,0.7,71.0,16.0,87.0,0.7,1021.0,121.7,9.0,94.0,2018/11/18 20:00
104,56.0,110.0,0.7,78.0,16.0,87.0,0.3,1021.3,121.7,9.0,94.0,2018/11/18 21:00
105,60.0,118.0,0.8,76.0,15.0,83.0,0.3,1021.8,121.7,9.0,94.0,2018/11/18 22:00
106,52.0,106.0,0.7,77.0,15.0,80.0,0.2,1021.6,121.7,8.0,98.0,2018/11/18 23:00
107,55.0,113.0,0.7,57.0,16.0,82.0,0.7,1022.5,121.7,9.0,93.0,2018/11/19 0:00
108,53.0,109.0,0.7,50.0,15.0,72.0,0.3,1022.1,121.7,8.0,90.0,2018/11/19 1:00
109,56.0,114.0,0.7,53.0,16.0,78.0,0.3,1022.2,121.7,8.0,90.0,2018/11/19 2:00
110,67.0,131.0,0.7,48.0,16.0,76.0,0.1,1022.1,121.7,8.0,89.0,2018/11/19 3:00
111,63.0,122.0,0.7,49.0,15.0,74.0,0.7,1022.0,121.7,8.0,86.0,2018/11/19 4:00
112,80.0,156.0,0.7,52.0,16.0,75.0,0.3,1022.2,121.7,8.0,87.0,2018/11/19 5:00
113,76.0,170.0,0.7,49.0,15.0,73.0,1.2,1022.4,121.7,8.0,83.0,2018/11/19 6:00
114,86.0,162.0,0.7,57.0,17.0,79.0,1.0,1022.9,121.7,8.0,81.0,2018/11/19 7:00
115,90.0,179.0,0.9,66.0,17.0,81.0,1.1,1023.8,121.7,9.0,80.0,2018/11/19 8:00
116,92.0,185.0,0.8,64.0,17.0,80.0,0.7,1024.1,121.7,9.0,80.0,2018/11/19 9:00
117,85.0,170.0,0.8,65.0,16.0,80.0,0.4,1024.5,121.7,10.0,73.0,2018/11/19 10:00
118,92.0,176.0,0.9,67.0,17.0,83.0,0.7,1024.4,121.7,10.0,73.0,2018/11/19 11:00
119,88.0,165.0,0.8,72.0,16.0,89.0,0.3,1023.5,121.7,11.0,69.0,2018/11/19 12:00
120,88.0,171.0,0.9,61.0,15.0,91.0,0.5,1022.5,121.7,13.0,62.0,2018/11/19 13:00
121,89.0,172.0,0.9,70.0,17.0,90.0,0.4,1021.8,121.7,13.0,60.0,2018/11/19 14:00
122,76.0,156.0,0.9,79.0,15.0,97.0,0.9,1021.9,121.7,12.0,66.0,2018/11/19 15:00
123,88.0,171.0,0.9,96.0,16.0,100.0,0.5,1021.5,121.7,11.0,70.0,2018/11/19 16:00
124,91.0,183.0,0.9,99.0,16.0,93.0,0.6,1021.9,121.7,10.0,78.0,2018/11/19 17:00
125,89.0,178.0,0.9,57.0,17.0,97.0,0.6,1023.0,121.7,10.0,78.0,2018/11/19 18:00
126,83.0,158.0,0.9,31.0,16.0,93.0,0.2,1023.5,121.7,9.0,80.0,2018/11/19 19:00
127,85.0,166.0,0.9,96.0,17.0,85.0,0.3,1022.8,121.7,8.0,86.0,2018/11/19 20:00
128,93.0,179.0,0.9,96.0,17.0,83.0,0.4,1022.9,121.7,8.0,90.0,2018/11/19 21:00
129,92.0,188.0,0.9,88.0,18.0,79.0,0.5,1022.9,121.7,7.0,92.0,2018/11/19 22:00
130,93.0,172.0,0.9,95.0,18.0,80.0,0.3,1022.8,121.7,7.0,93.0,2018/11/19 23:00
131,92.0,183.0,0.9,88.0,18.0,80.0,0.3,1022.8,121.7,7.0,94.0,2018/11/20 0:00
132,84.0,166.0,0.9,82.0,19.0,75.0,0.2,1022.4,121.7,8.0,92.0,2018/11/20 1:00
133,83.0,178.0,0.8,77.0,17.0,76.0,0.3,1021.7,121.7,7.0,93.0,2018/11/20 2:00
134,71.0,137.0,0.8,76.0,16.0,75.0,0.2,1020.9,121.7,8.0,89.0,2018/11/20 3:00
135,68.0,139.0,0.7,76.0,16.0,79.0,0.6,1020.5,121.7,8.0,88.0,2018/11/20 4:00
136,66.0,126.0,0.8,65.0,16.0,78.0,0.2,1020.6,121.7,7.0,89.0,2018/11/20 5:00
137,66.0,131.0,0.7,67.0,17.0,74.0,0.3,1021.0,121.7,7.0,95.0,2018/11/20 6:00
138,74.0,139.0,0.7,86.0,17.0,79.0,0.3,1021.2,121.7,7.0,93.0,2018/11/20 7:00
139,91.0,176.0,0.8,90.0,18.0,82.0,0.3,1021.2,121.7,9.0,83.0,2018/11/20 8:00
140,107.0,209.0,0.9,72.0,16.0,89.0,1.2,1021.3,121.7,12.0,72.0,2018/11/20 9:00
141,103.0,192.0,1.0,63.0,16.0,64.0,2.2,1019.4,121.7,16.0,60.0,2018/11/20 12:00
142,105.0,197.0,0.9,62.0,15.0,73.0,0.9,1017.9,121.7,16.0,60.0,2018/11/20 13:00
143,78.0,137.0,0.9,59.0,16.0,73.0,1.1,1018.1,121.7,17.0,58.0,2018/11/20 14:00
144,72.0,127.0,1.0,56.0,16.0,76.0,0.8,1018.0,121.7,17.0,59.0,2018/11/20 15:00
145,60.0,111.0,0.8,52.0,15.0,75.0,0.7,1017.7,121.7,16.0,65.0,2018/11/20 16:00
146,72.0,124.0,0.8,77.0,15.0,46.0,0.6,1017.4,121.7,14.0,71.0,2018/11/20 17:00
147,76.0,128.0,0.7,84.0,16.0,40.0,0.5,1017.7,121.7,14.0,76.0,2018/11/20 18:00
148,92.0,174.0,0.7,74.0,15.0,48.0,0.5,1017.2,121.7,14.0,77.0,2018/11/20 19:00
149,100.0,182.0,0.8,78.0,16.0,40.0,0.7,1017.2,121.7,14.0,78.0,2018/11/20 20:00
150,100.0,196.0,0.8,88.0,16.0,103.0,0.4,1017.0,121.7,13.0,81.0,2018/11/20 21:00
151,103.0,196.0,0.8,39.0,16.0,100.0,0.1,1017.3,121.7,13.0,81.0,2018/11/20 22:00
152,109.0,198.0,0.8,58.0,17.0,96.0,0.4,1017.4,121.7,13.0,84.0,2018/11/20 23:00
153,103.0,195.0,0.8,56.0,17.0,90.0,0.2,1017.1,121.7,13.0,87.0,2018/11/21 0:00
154,119.0,221.0,0.8,42.0,16.0,93.0,0.2,1017.5,122.1,13.0,92.0,2018/11/21 1:00
155,126.0,228.0,0.8,94.0,17.0,87.0,0.3,1017.4,124.1,12.0,97.0,2018/11/21 2:00
156,124.0,232.0,0.8,87.0,16.0,84.0,0.2,1016.8,126.0,12.0,98.0,2018/11/21 3:00
157,106.0,195.0,0.8,86.0,17.0,83.0,0.3,1016.3,126.6,12.0,99.0,2018/11/21 4:00
158,113.0,214.0,0.8,84.0,17.0,83.0,0.4,1016.4,126.6,12.0,99.0,2018/11/21 5:00
159,112.0,208.0,0.8,88.0,17.0,83.0,0.2,1016.7,126.6,12.0,98.0,2018/11/21 6:00
160,124.0,230.0,0.9,59.0,18.0,82.0,0.1,1017.8,126.6,12.0,98.0,2018/11/21 7:00
161,107.0,198.0,0.8,85.0,16.0,79.0,0.4,1018.5,126.6,12.0,96.0,2018/11/21 8:00
162,114.0,217.0,0.8,82.0,16.0,82.0,0.5,1019.2,126.6,12.0,95.0,2018/11/21 9:00
163,117.0,240.0,0.8,67.0,16.0,81.0,0.7,1019.9,126.6,12.0,95.0,2018/11/21 12:00
164,117.0,243.0,0.8,73.0,17.0,85.0,0.8,1019.6,126.6,11.0,97.0,2018/11/21 13:00
165,141.0,289.0,0.9,72.0,17.0,89.0,0.8,1019.4,126.6,11.0,95.0,2018/11/21 14:00
166,111.0,223.0,0.7,74.0,15.0,105.0,0.6,1019.5,126.6,12.0,90.0,2018/11/21 15:00
167,131.0,244.0,1.2,83.0,17.0,102.0,0.4,1019.8,126.6,12.0,86.0,2018/11/21 16:00
168,112.0,224.0,0.8,71.0,17.0,74.0,0.9,1020.5,126.6,12.0,81.0,2018/11/21 17:00
169,136.0,274.0,0.9,70.0,16.0,50.0,0.5,1021.1,126.6,12.0,79.0,2018/11/21 18:00
170,153.0,300.0,1.1,90.0,17.0,108.0,0.8,1022.1,126.6,11.0,77.0,2018/11/21 19:00
171,148.0,287.0,0.8,78.0,16.0,108.0,1.1,1022.8,126.6,11.0,76.0,2018/11/21 20:00
172,157.0,302.0,0.9,82.0,17.0,104.0,0.8,1024.1,126.6,11.0,77.0,2018/11/21 21:00
173,118.0,234.0,0.8,71.0,15.0,90.0,0.2,1025.3,126.6,11.0,81.0,2018/11/21 22:00
174,113.0,219.0,0.8,75.0,16.0,85.0,0.9,1025.6,126.6,11.0,84.0,2018/11/21 23:00
175,99.0,192.0,0.7,73.0,16.0,82.0,0.5,1025.9,126.6,10.0,89.0,2018/11/22 0:00
176,102.0,195.0,0.7,72.0,16.0,78.0,0.1,1025.9,126.6,9.0,94.0,2018/11/22 1:00
177,117.0,248.0,0.8,77.0,16.0,81.0,1.4,1025.7,126.6,8.0,96.0,2018/11/22 2:00
178,122.0,236.0,0.8,78.0,17.0,80.0,0.6,1026.1,126.6,8.0,95.0,2018/11/22 3:00
179,149.0,301.0,0.7,63.0,16.0,79.0,0.4,1026.2,126.6,8.0,93.0,2018/11/22 4:00
180,155.0,312.0,0.7,69.0,17.0,73.0,0.2,1026.1,126.6,7.0,96.0,2018/11/22 5:00
181,156.0,317.0,0.8,68.0,17.0,73.0,0.3,1026.3,126.6,7.0,98.0,2018/11/22 6:00
182,158.0,312.0,0.8,81.0,18.0,82.0,0.3,1026.7,126.6,7.0,99.0,2018/11/22 7:00
183,162.0,322.0,0.9,88.0,16.0,83.0,0.4,1027.5,126.6,9.0,89.0,2018/11/22 8:00
184,127.0,258.0,0.8,91.0,17.0,89.0,0.7,1027.8,126.6,12.0,77.0,2018/11/22 9:00
185,85.0,156.0,0.8,53.0,15.0,72.0,0.3,1027.9,126.6,14.0,59.0,2018/11/22 10:00
186,93.0,171.0,0.8,64.0,15.0,40.0,0.3,1027.5,126.6,13.0,58.0,2018/11/22 11:00
187,91.0,172.0,0.8,58.0,15.0,49.0,0.5,1026.5,126.6,13.0,54.0,2018/11/22 12:00
188,72.0,128.0,0.8,49.0,15.0,62.0,1.0,1025.4,126.6,15.0,42.0,2018/11/22 13:00
189,95.0,172.0,0.8,60.0,15.0,44.0,0.6,1024.7,126.6,15.0,43.0,2018/11/22 14:00
190,84.0,150.0,0.8,65.0,16.0,58.0,0.6,1024.3,126.6,15.0,40.0,2018/11/22 15:00
191,98.0,185.0,0.9,90.0,15.0,105.0,1.4,1024.9,126.6,13.0,47.0,2018/11/22 16:00
192,92.0,175.0,0.8,44.0,16.0,115.0,0.2,1025.0,126.6,11.0,57.0,2018/11/22 17:00
193,95.0,175.0,0.8,43.0,16.0,107.0,0.3,1025.3,126.6,9.0,66.0,2018/11/22 18:00
194,101.0,196.0,0.9,50.0,19.0,103.0,0.2,1025.3,126.6,9.0,74.0,2018/11/22 19:00
195,91.0,166.0,0.8,41.0,20.0,95.0,0.4,1025.3,126.6,9.0,74.0,2018/11/22 20:00
196,72.0,133.0,0.8,56.0,17.0,96.0,0.1,1025.8,126.7,9.0,68.0,2018/11/22 21:00
197,57.0,114.0,0.8,78.0,16.0,98.0,0.4,1025.8,126.7,9.0,61.0,2018/11/22 22:00
198,62.0,117.0,0.8,88.0,16.0,93.0,0.3,1024.9,126.7,9.0,61.0,2018/11/22 23:00
199,63.0,122.0,0.7,84.0,16.0,91.0,0.7,1024.4,126.7,9.0,63.0,2018/11/23 0:00
200,58.0,117.0,0.7,75.0,15.0,88.0,0.4,1024.5,126.7,9.0,67.0,2018/11/23 1:00
201,64.0,120.0,0.7,93.0,15.0,85.0,0.3,1024.7,126.7,8.0,72.0,2018/11/23 2:00
202,68.0,132.0,0.7,91.0,16.0,85.0,0.3,1024.0,126.7,8.0,74.0,2018/11/23 3:00
203,74.0,145.0,0.7,100.0,16.0,83.0,0.2,1023.2,126.7,7.0,79.0,2018/11/23 4:00
204,83.0,158.0,0.7,82.0,16.0,86.0,0.4,1022.9,126.7,7.0,78.0,2018/11/23 5:00
205,92.0,176.0,0.7,47.0,18.0,87.0,0.2,1022.8,126.7,6.0,81.0,2018/11/23 6:00
206,96.0,189.0,0.8,71.0,16.0,90.0,0.3,1023.1,126.7,6.0,82.0,2018/11/23 7:00
207,97.0,189.0,0.8,49.0,18.0,92.0,1.0,1023.3,126.7,9.0,75.0,2018/11/23 8:00
208,103.0,182.0,0.8,94.0,16.0,96.0,1.7,1023.6,126.7,11.0,67.0,2018/11/23 9:00
209,100.0,193.0,0.8,88.0,16.0,106.0,1.7,1022.5,126.7,13.0,59.0,2018/11/23 10:00
210,90.0,171.0,0.8,76.0,15.0,62.0,1.2,1022.0,126.7,14.0,57.0,2018/11/23 11:00
211,68.0,123.0,0.8,54.0,15.0,63.0,1.0,1020.8,126.7,16.0,50.0,2018/11/23 12:00
212,62.0,110.0,0.7,55.0,15.0,64.0,0.7,1019.6,126.7,17.0,47.0,2018/11/23 13:00
213,57.0,102.0,0.8,41.0,15.0,86.0,1.6,1018.5,126.7,17.0,46.0,2018/11/23 14:00
214,52.0,101.0,0.8,55.0,14.0,73.0,1.8,1017.7,126.7,17.0,45.0,2018/11/23 15:00
215,52.0,96.0,0.7,54.0,15.0,69.0,2.0,1017.8,126.7,16.0,48.0,2018/11/23 16:00
216,55.0,105.0,0.7,87.0,15.0,100.0,0.7,1018.2,126.7,14.0,56.0,2018/11/23 17:00
217,67.0,120.0,0.8,72.0,16.0,109.0,0.1,1018.9,126.7,12.0,66.0,2018/11/23 18:00
218,99.0,188.0,1.0,79.0,18.0,111.0,0.3,1019.2,126.7,11.0,78.0,2018/11/23 19:00
219,95.0,172.0,0.7,84.0,15.0,117.0,0.5,1019.2,126.7,11.0,74.0,2018/11/23 20:00
220,117.0,227.0,0.8,70.0,16.0,112.0,2.4,1019.1,126.7,11.0,77.0,2018/11/23 21:00
221,107.0,201.0,0.8,40.0,17.0,105.0,0.8,1019.3,126.7,10.0,78.0,2018/11/23 22:00
222,104.0,195.0,0.8,52.0,16.0,102.0,1.5,1018.9,126.7,10.0,80.0,2018/11/23 23:00
223,105.0,192.0,0.8,42.0,17.0,98.0,0.6,1018.9,126.7,9.0,82.0,2018/11/24 0:00
224,100.0,197.0,0.8,71.0,17.0,91.0,0.2,1019.4,126.7,8.0,88.0,2018/11/24 1:00
225,100.0,192.0,0.8,58.0,16.0,89.0,0.2,1020.1,126.7,8.0,91.0,2018/11/24 2:00
226,95.0,187.0,0.7,89.0,16.0,80.0,0.2,1019.8,126.7,7.0,93.0,2018/11/24 3:00
227,89.0,157.0,0.8,94.0,17.0,81.0,0.3,1019.7,126.7,7.0,95.0,2018/11/24 4:00
228,88.0,166.0,0.8,78.0,17.0,74.0,0.2,1019.8,126.7,7.0,95.0,2018/11/24 5:00
229,96.0,176.0,0.8,88.0,17.0,78.0,0.3,1020.5,126.7,7.0,95.0,2018/11/24 6:00
230,94.0,179.0,0.8,84.0,17.0,75.0,0.3,1020.9,126.7,7.0,96.0,2018/11/24 7:00
231,100.0,189.0,0.8,64.0,20.0,88.0,0.6,1021.5,126.7,9.0,83.0,2018/11/24 8:00
232,98.0,184.0,0.9,71.0,21.0,96.0,0.9,1022.1,126.7,12.0,74.0,2018/11/24 9:00
233,100.0,182.0,1.0,79.0,20.0,104.0,0.6,1022.1,126.7,15.0,63.0,2018/11/24 10:00
234,93.0,183.0,1.0,97.0,18.0,116.0,1.0,1021.9,126.7,16.0,57.0,2018/11/24 11:00
235,89.0,165.0,1.0,39.0,17.0,119.0,0.8,1021.5,126.7,17.0,56.0,2018/11/24 12:00
236,92.0,162.0,1.0,72.0,17.0,127.0,0.4,1021.0,126.7,19.0,50.0,2018/11/24 13:00
237,80.0,139.0,1.1,96.0,16.0,131.0,0.6,1020.6,126.7,20.0,42.0,2018/11/24 14:00
238,93.0,162.0,1.0,32.0,17.0,138.0,0.3,1020.7,126.7,19.0,46.0,2018/11/24 15:00
