,,PM2.5,PM10,CO,NO2,SO2,O3,time
81,81,20,47,0.624,6,40,31,2018/11/17 19:00
82,82,25,43,0.642,6,42,26,2018/11/17 20:00
83,83,30,37,0.587,6,37,28,2018/11/17 21:00
84,84,26,27,0.587,6,32,28,2018/11/17 22:00
85,85,27,27,0.608,6,28,31,2018/11/17 23:00
86,86,23,21,0.579,6,24,35,2018/11/18 0:00
87,87,22,20,0.507,6,14,54,2018/11/18 1:00
88,88,13,9,0.562,5,14,60,2018/11/18 2:00
89,89,15,13,0.529,6,16,55,2018/11/18 3:00
90,90,18,14,0.504,6,12,56,2018/11/18 4:00
91,91,18,13,0.522,6,16,49,2018/11/18 5:00
92,92,15,12,0.555,6,20,43,2018/11/18 6:00
93,93,24,18,0.508,5,24,45,2018/11/18 7:00
94,94,19,18,0.509,5,25,40,2018/11/18 8:00
95,95,18,19,0.552,6,37,24,2018/11/18 9:00
96,96,15,16,0.626,6,33,26,2018/11/18 10:00
97,97,26,19,0.624,6,31,35,2018/11/18 11:00
98,98,11,17,0.643,6,33,25,2018/11/18 12:00
99,99,20,23,0.644,5,32,29,2018/11/18 13:00
100,100,15,25,0.638,6,31,38,2018/11/18 14:00
101,101,30,25,0.676,5,34,38,2018/11/18 15:00
102,102,23,18,0.665,5,39,34,2018/11/18 16:00
103,103,26,20,0.671,5,43,28,2018/11/18 17:00
104,104,26,30,0.71,6,52,14,2018/11/18 18:00
105,105,30,30,0.748,6,45,24,2018/11/18 19:00
106,106,38,38,0.759,5,40,30,2018/11/18 20:00
107,107,36,33,0.841,5,41,26,2018/11/18 21:00
108,108,41,31,0.713,5,36,26,2018/11/18 22:00
109,109,25,26,0.705,6,37,21,2018/11/18 23:00
110,110,28,25,0.702,6,23,37,2018/11/19 0:00
111,111,34,31,0.716,6,21,40,2018/11/19 1:00
112,112,35,33,0.72,6,20,38,2018/11/19 2:00
113,113,43,31,0.744,6,22,34,2018/11/19 3:00
114,114,48,41,0.793,7,22,32,2018/11/19 4:00
115,115,50,42,0.885,7,23,24,2018/11/19 5:00
116,116,58,58,1.039,8,27,24,2018/11/19 6:00
117,117,65,64,1.385,9,36,18,2018/11/19 7:00
118,118,67,77,1.562,10,41,17,2018/11/19 8:00
119,119,69,77,1.479,10,35,25,2018/11/19 9:00
120,120,73,85,1.495,10,37,27,2018/11/19 10:00
121,121,73,92,1.522,10,44,29,2018/11/19 11:00
122,122,72,96,1.482,10,44,34,2018/11/19 12:00
123,123,75,87,1.484,10,44,42,2018/11/19 13:00
124,124,82,96,1.454,10,48,45,2018/11/19 14:00
125,125,73,92,1.381,10,52,41,2018/11/19 15:00
126,126,71,85,1.691,10,67,22,2018/11/19 16:00
127,127,72,100,2.032,10,88,4,2018/11/19 17:00
128,128,90,136,1.753,10,82,4,2018/11/19 18:00
129,129,64,103,1.661,12,70,4,2018/11/19 19:00
130,130,67,95,1.734,11,66,3,2018/11/19 20:00
131,131,77,95,1.69,10,64,2,2018/11/19 21:00
132,132,77,105,1.61,9,59,2,2018/11/19 22:00
133,133,74,99,1.664,9,54,2,2018/11/19 23:00
134,134,69,93,1.632,9,50,3,2018/11/20 0:00
135,135,64,89,1.46,8,48,3,2018/11/20 1:00
136,136,72,75,1.3,7,44,4,2018/11/20 2:00
137,137,63,63,1.137,6,47,5,2018/11/20 3:00
138,138,56,59,1.048,6,42,12,2018/11/20 4:00
139,139,48,63,1.042,6,41,11,2018/11/20 5:00
140,140,54,55,1.16,6,42,10,2018/11/20 6:00
141,141,50,67,1.368,8,48,5,2018/11/20 7:00
142,142,57,67,1.391,10,46,16,2018/11/20 8:00
143,143,70,101,1.649,12,46,36,2018/11/20 9:00
144,144,,,,,,,2018/11/20 10:00
145,145,,,,,,,2018/11/20 11:00
146,146,103,132,1.291,12,39,96,2018/11/20 12:00
147,147,82,106,1.109,11,35,102,2018/11/20 13:00
148,148,69,96,0.997,10,28,113,2018/11/20 14:00
149,149,62,78,0.955,9,29,111,2018/11/20 15:00
150,150,54,84,0.955,9,45,87,2018/11/20 16:00
151,151,58,93,1.002,8,50,76,2018/11/20 17:00
152,152,54,94,0.988,9,42,76,2018/11/20 18:00
153,153,56,94,0.941,10,41,77,2018/11/20 19:00
154,154,67,89,0.965,10,46,62,2018/11/20 20:00
155,155,64,95,1.055,10,54,43,2018/11/20 21:00
156,156,69,90,1.241,9,75,12,2018/11/20 22:00
157,157,72,97,1.424,8,75,3,2018/11/20 23:00
158,158,75,93,1.305,8,70,4,2018/11/21 0:00
159,159,74,98,1.144,8,62,3,2018/11/21 1:00
160,160,78,79,1.224,7,58,3,2018/11/21 2:00
161,161,74,77,1.224,7,53,4,2018/11/21 3:00
162,162,63,67,1.177,6,44,7,2018/11/21 4:00
163,163,58,60,1.146,7,53,4,2018/11/21 5:00
164,164,58,75,1.247,7,50,3,2018/11/21 6:00
165,165,64,74,1.409,8,48,3,2018/11/21 7:00
166,166,72,81,0.95,7,42,4,2018/11/21 8:00
167,167,60,80,1.039,8,38,10,2018/11/21 9:00
168,168,,,,,,,2018/11/21 10:00
169,169,,,,,,,2018/11/21 11:00
170,170,96,129,1.067,6,40,17,2018/11/21 12:00
171,171,60,71,1.358,6,36,30,2018/11/21 13:00
172,172,100,106,1.76,8,42,38,2018/11/21 14:00
173,173,100,112,2.011,9,43,50,2018/11/21 15:00
174,174,90,104,2.298,11,49,53,2018/11/21 16:00
175,175,91,110,1.533,10,43,60,2018/11/21 17:00
176,176,93,116,2.094,11,50,59,2018/11/21 18:00
177,177,121,140,2.001,12,55,48,2018/11/21 19:00
178,178,122,150,1.594,10,50,54,2018/11/21 20:00
179,179,134,163,1.507,11,46,44,2018/11/21 21:00
180,180,124,155,1.103,10,42,32,2018/11/21 22:00
181,181,86,112,1.078,10,42,26,2018/11/21 23:00
182,182,75,108,1.041,10,43,20,2018/11/22 0:00
183,183,71,98,1.044,8,42,11,2018/11/22 1:00
184,184,63,87,1.341,8,45,7,2018/11/22 2:00
185,185,68,96,1.289,8,44,12,2018/11/22 3:00
186,186,84,105,1.277,8,41,20,2018/11/22 4:00
187,187,109,147,1.251,8,44,9,2018/11/22 5:00
188,188,108,142,1.34,7,45,4,2018/11/22 6:00
189,189,108,143,1.788,10,55,4,2018/11/22 7:00
190,190,105,150,1.563,12,56,10,2018/11/22 8:00
191,191,112,146,1.258,13,51,24,2018/11/22 9:00
192,192,81,109,1.06,11,45,47,2018/11/22 10:00
193,193,79,96,1.034,12,42,61,2018/11/22 11:00
194,194,74,131,0.957,12,34,85,2018/11/22 12:00
195,195,71,88,1.148,12,38,85,2018/11/22 13:00
196,196,73,108,1.24,13,37,88,2018/11/22 14:00
197,197,73,114,1.455,14,39,96,2018/11/22 15:00
198,198,78,107,1.726,17,64,76,2018/11/22 16:00
199,199,84,122,1.619,14,94,34,2018/11/22 17:00
200,200,94,146,1.745,11,102,9,2018/11/22 18:00
201,201,90,160,1.916,11,103,4,2018/11/22 19:00
202,202,95,174,1.401,11,94,2,2018/11/22 20:00
203,203,76,126,1.042,10,86,6,2018/11/22 21:00
204,204,56,106,0.975,10,63,24,2018/11/22 22:00
205,205,55,86,1.085,11,47,38,2018/11/22 23:00
206,206,54,82,0.946,10,49,30,2018/11/23 0:00
207,207,54,87,0.944,9,51,24,2018/11/23 1:00
208,208,50,78,0.946,8,59,9,2018/11/23 2:00
209,209,61,83,0.941,9,62,6,2018/11/23 3:00
210,210,55,83,1.033,9,63,3,2018/11/23 4:00
211,211,64,94,1.058,11,67,5,2018/11/23 5:00
212,212,66,108,1.204,11,70,3,2018/11/23 6:00
213,213,69,102,1.353,11,71,5,2018/11/23 7:00
214,214,75,132,1.17,14,61,14,2018/11/23 8:00
215,215,82,137,1.115,17,63,27,2018/11/23 9:00
216,216,92,135,1.025,16,50,47,2018/11/23 10:00
217,217,74,125,0.944,15,42,66,2018/11/23 11:00
218,218,68,111,0.84,12,26,91,2018/11/23 12:00
219,219,55,97,0.803,11,26,98,2018/11/23 13:00
220,220,55,101,0.782,10,26,103,2018/11/23 14:00
221,221,46,89,0.791,9,34,91,2018/11/23 15:00
222,222,47,84,0.829,8,49,73,2018/11/23 16:00
223,223,44,100,0.994,8,75,39,2018/11/23 17:00
224,224,52,139,1.371,8,92,15,2018/11/23 18:00
225,225,71,155,1.517,9,98,3,2018/11/23 19:00
226,226,69,142,1.099,10,99,3,2018/11/23 20:00
227,227,87,135,1.051,11,91,4,2018/11/23 21:00
228,228,84,127,1.095,10,87,2,2018/11/23 22:00
229,229,78,128,1.094,10,83,4,2018/11/23 23:00
230,230,79,117,1.199,9,75,3,2018/11/24 0:00
231,231,78,111,1.21,8,71,2,2018/11/24 1:00
232,232,76,99,1.311,8,60,3,2018/11/24 2:00
233,233,67,94,1.156,7,54,3,2018/11/24 3:00
234,234,69,81,1.102,7,52,3,2018/11/24 4:00
235,235,58,87,1.175,8,53,2,2018/11/24 5:00
236,236,65,125,1.301,8,55,2,2018/11/24 6:00
237,237,67,152,1.438,9,60,4,2018/11/24 7:00
238,238,67,107,1.349,12,66,4,2018/11/24 8:00
239,239,73,113,1.515,17,77,5,2018/11/24 9:00
240,240,85,133,1.477,18,81,12,2018/11/24 10:00
241,241,81,137,1.38,18,84,18,2018/11/24 11:00
242,242,84,131,1.307,19,84,26,2018/11/24 12:00
243,243,67,124,1.476,22,81,44,2018/11/24 13:00
244,244,73,112,1.495,21,86,51,2018/11/24 14:00
245,245,79,118,1.493,19,102,46,2018/11/24 15:00
246,246,88,127,1.344,18,105,62,2018/11/24 16:00
247,247,99,155,1.99,15,150,11,2018/11/24 17:00
248,248,131,270,1.957,15,134,2,2018/11/24 18:00
249,249,97,173,1.46,12,105,8,2018/11/24 19:00
250,250,95,142,1.303,12,77,25,2018/11/24 20:00
251,251,85,127,1.428,13,83,16,2018/11/24 21:00
252,252,97,131,1.501,12,92,5,2018/11/24 22:00
253,253,103,149,1.787,11,84,4,2018/11/24 23:00
254,254,98,140,1.564,10,75,4,2018/11/25 0:00
255,255,105,143,1.598,10,69,6,2018/11/25 1:00
256,256,110,151,1.637,9,63,9,2018/11/25 2:00
257,257,117,144,1.751,9,63,8,2018/11/25 3:00
258,258,113,149,1.762,9,63,5,2018/11/25 4:00
259,259,124,147,1.776,10,61,5,2018/11/25 5:00
260,260,122,159,1.799,9,59,2,2018/11/25 6:00
261,261,124,156,1.873,11,68,4,2018/11/25 7:00
262,262,120,189,1.743,13,71,12,2018/11/25 8:00
263,263,131,177,1.823,15,80,14,2018/11/25 9:00
264,264,142,186,1.799,16,79,39,2018/11/25 10:00
265,265,139,185,1.624,17,60,89,2018/11/25 11:00
266,266,125,174,1.366,16,37,143,2018/11/25 12:00
267,267,107,140,1.224,15,31,163,2018/11/25 13:00
268,268,90,119,1.204,14,31,170,2018/11/25 14:00
269,269,84,120,1.235,13,40,157,2018/11/25 15:00
270,270,101,165,1.34,12,53,133,2018/11/25 16:00
271,271,98,184,1.374,13,64,107,2018/11/25 17:00
272,272,102,158,1.849,10,114,32,2018/11/25 18:00
273,273,128,176,1.865,11,102,29,2018/11/25 19:00
274,274,143,193,1.819,11,97,23,2018/11/25 20:00
275,275,142,191,2.128,11,102,4,2018/11/25 21:00
276,276,142,185,2.443,10,90,2,2018/11/25 22:00
277,277,140,190,2.502,9,79,2,2018/11/25 23:00
278,278,134,173,2.485,9,66,2,2018/11/26 0:00
279,279,133,165,2.321,10,62,2,2018/11/26 1:00
280,280,118,156,2.271,10,58,2,2018/11/26 2:00
281,281,117,156,2.115,9,50,2,2018/11/26 3:00
282,282,110,136,1.952,9,46,2,2018/11/26 4:00
283,283,106,138,1.709,9,51,2,2018/11/26 5:00
284,284,106,144,1.626,9,47,2,2018/11/26 6:00
285,285,100,140,1.81,10,50,2,2018/11/26 7:00
286,286,96,127,1.853,10,57,3,2018/11/26 8:00
287,287,98,152,1.713,10,70,6,2018/11/26 9:00
288,288,101,157,1.702,8,68,10,2018/11/26 10:00
289,289,104,169,1.79,8,54,33,2018/11/26 11:00
290,290,117,141,1.514,8,55,44,2018/11/26 12:00
291,291,129,135,1.502,8,58,55,2018/11/26 13:00
292,292,143,151,1.595,8,69,50,2018/11/26 14:00
293,293,155,175,1.637,8,83,44,2018/11/26 15:00
294,294,168,193,1.791,8,99,21,2018/11/26 16:00
295,295,164,208,2.029,8,101,3,2018/11/26 17:00
296,296,152,222,2.497,9,93,3,2018/11/26 18:00
297,297,144,220,2.87,11,79,2,2018/11/26 19:00
298,298,140,216,2.614,12,77,2,2018/11/26 20:00
299,299,127,219,1.988,12,84,1,2018/11/26 21:00
300,300,79,93,1.677,9,77,1,2018/11/26 22:00
301,301,54,61,1.5,7,77,2,2018/11/26 23:00
302,302,45,53,1.456,7,75,3,2018/11/27 0:00
303,303,39,50,1.686,6,64,8,2018/11/27 1:00
304,304,43,51,1.454,6,43,23,2018/11/27 2:00
305,305,44,51,1.412,6,32,37,2018/11/27 3:00
306,306,36,61,1.386,6,26,48,2018/11/27 4:00
307,307,42,62,1.386,6,27,46,2018/11/27 5:00
308,308,46,69,1.425,6,33,39,2018/11/27 6:00
309,309,45,69,1.716,6,43,27,2018/11/27 7:00
310,310,51,71,1.884,6,47,26,2018/11/27 8:00
311,311,55,66,1.656,6,51,28,2018/11/27 9:00
312,312,72,82,1.762,7,60,32,2018/11/27 10:00
313,313,87,102,1.966,8,70,36,2018/11/27 11:00
314,314,85,111,2.097,11,77,43,2018/11/27 12:00
315,315,78,108,2.049,14,81,62,2018/11/27 13:00
316,316,82,111,2.146,13,86,65,2018/11/27 14:00
317,317,89,121,2.043,12,92,61,2018/11/27 15:00
318,318,87,123,2.252,11,125,23,2018/11/27 16:00
319,319,95,146,2.999,10,128,4,2018/11/27 17:00
320,320,139,265,3.85,12,123,4,2018/11/27 18:00
321,321,134,239,3.895,14,106,2,2018/11/27 19:00
322,322,121,213,3.613,14,92,2,2018/11/27 20:00
323,323,115,175,3.299,14,82,2,2018/11/27 21:00
324,324,102,142,3.23,14,77,2,2018/11/27 22:00
325,325,91,129,2.405,12,76,2,2018/11/27 23:00
326,326,89,118,2.348,11,66,2,2018/11/28 0:00
327,327,84,116,2.246,11,59,2,2018/11/28 1:00
328,328,86,104,1.956,10,58,2,2018/11/28 2:00
329,329,86,110,1.812,8,50,2,2018/11/28 3:00
330,330,84,105,1.714,8,48,2,2018/11/28 4:00
331,331,92,118,1.814,8,48,2,2018/11/28 5:00
332,332,103,127,1.944,9,53,2,2018/11/28 6:00
333,333,111,161,2.336,11,74,3,2018/11/28 7:00
334,334,119,180,2.609,11,94,3,2018/11/28 8:00
335,335,100,156,2.615,10,90,4,2018/11/28 9:00
336,336,128,186,2.386,10,84,9,2018/11/28 10:00
337,337,125,136,2.315,10,94,16,2018/11/28 11:00
338,338,102,126,2.33,10,90,28,2018/11/28 12:00
339,339,,,,,,,2018/11/28 13:00
340,340,,,,,,,2018/11/28 14:00
341,341,,,,,,,2018/11/28 15:00
342,342,,,,,,,2018/11/28 16:00
343,343,,,,,,,2018/11/28 17:00
344,344,99,173,2.497,8,116,5,2018/11/28 18:00
345,345,136,216,2.555,8,111,3,2018/11/28 19:00
346,346,143,195,2.612,8,105,2,2018/11/28 20:00
347,347,140,184,2.601,9,102,2,2018/11/28 21:00
348,348,144,197,2.57,10,97,2,2018/11/28 22:00
349,349,146,188,2.542,9,87,2,2018/11/28 23:00
350,350,145,192,2.12,9,85,2,2018/11/29 0:00
351,351,153,184,2.522,9,75,2,2018/11/29 1:00
352,352,142,174,2.198,9,66,2,2018/11/29 2:00
353,353,138,176,2.346,9,52,2,2018/11/29 3:00
354,354,119,163,2.131,9,47,2,2018/11/29 4:00
355,355,128,162,1.634,7,48,2,2018/11/29 5:00
356,356,99,154,1.788,8,53,3,2018/11/29 6:00
357,357,120,157,2.051,10,67,2,2018/11/29 7:00
358,358,121,193,1.966,12,81,4,2018/11/29 8:00
359,359,164,231,1.692,12,78,12,2018/11/29 9:00
360,360,170,204,1.631,14,78,21,2018/11/29 10:00
361,361,150,178,2.044,16,108,21,2018/11/29 11:00
362,362,,,,,,,2018/11/29 12:00
363,363,,,,,,,2018/11/29 13:00
364,364,118,180,1.329,12,40,100,2018/11/29 14:00
365,365,92,182,1.98,13,96,73,2018/11/29 15:00
366,366,122,215,2.886,16,145,40,2018/11/29 16:00
367,367,178,246,2.401,16,115,6,2018/11/29 17:00
368,368,132,175,2.394,17,100,3,2018/11/29 18:00
369,369,153,178,2.256,15,87,2,2018/11/29 19:00
370,370,151,178,2.102,10,72,7,2018/11/29 20:00
371,371,133,170,2.021,9,60,12,2018/11/29 21:00
372,372,135,186,2.025,9,64,10,2018/11/29 22:00
373,373,143,187,1.984,9,57,12,2018/11/29 23:00
374,374,157,216,2.02,8,55,12,2018/11/30 0:00
375,375,162,215,2.138,9,66,9,2018/11/30 1:00
376,376,166,219,2.074,9,62,10,2018/11/30 2:00
377,377,158,212,2.079,8,60,8,2018/11/30 3:00
378,378,150,206,1.966,8,47,16,2018/11/30 4:00
379,379,152,221,1.991,8,44,18,2018/11/30 5:00
380,380,167,233,2.066,9,53,10,2018/11/30 6:00
381,381,177,230,2.142,9,55,6,2018/11/30 7:00
382,382,171,234,2.129,9,47,10,2018/11/30 8:00
383,383,175,227,2.176,9,46,17,2018/11/30 9:00
384,384,168,228,2.134,10,43,26,2018/11/30 10:00
385,385,177,228,1.992,10,44,42,2018/11/30 11:00
386,386,166,202,2.05,10,42,54,2018/11/30 12:00
387,387,156,196,2.036,10,45,68,2018/11/30 13:00
388,388,173,219,2.065,9,46,76,2018/11/30 14:00
389,389,171,211,2.318,10,58,70,2018/11/30 15:00
390,390,173,230,2.166,10,68,56,2018/11/30 16:00
391,391,198,255,2.582,10,98,25,2018/11/30 17:00
392,392,216,276,2.806,10,111,9,2018/11/30 18:00
393,393,216,287,2.536,11,117,2,2018/11/30 19:00
394,394,206,295,2.844,12,114,3,2018/11/30 20:00
395,395,,,,,,,2018/11/30 21:00
396,396,,,,,,,2018/11/30 22:00
397,397,,,,,,,2018/11/30 23:00
398,398,,,,,,,2018/12/1 0:00
399,399,,,,,,,2018/12/1 1:00
400,400,,,,,,,2018/12/1 2:00
401,401,,,,,,,2018/12/1 3:00
402,402,,,,,,,2018/12/1 4:00
403,403,,,,,,,2018/12/1 5:00
404,404,,,,,,,2018/12/1 6:00
405,405,,,,,,,2018/12/1 7:00
406,406,,,,,,,2018/12/1 8:00
407,407,,,,,,,2018/12/1 9:00
408,408,,,,,,,2018/12/1 10:00
409,409,,,,,,,2018/12/1 11:00
410,410,100,135,1.059,10,32,43,2018/12/1 12:00
411,411,86,140,0.993,10,33,48,2018/12/1 13:00
412,412,76,137,0.994,9,45,40,2018/12/1 14:00
413,413,80,151,1.073,9,59,27,2018/12/1 15:00
414,414,89,171,1.202,8,69,16,2018/12/1 16:00
415,415,96,188,1.381,8,82,5,2018/12/1 17:00
416,416,101,177,1.4,8,81,3,2018/12/1 18:00
417,417,98,163,1.292,8,72,8,2018/12/1 19:00
418,418,94,151,1.446,8,73,2,2018/12/1 20:00
419,419,96,141,1.426,8,69,2,2018/12/1 21:00
420,420,75,132,1.49,10,70,2,2018/12/1 22:00
421,421,70,133,1.461,9,65,2,2018/12/1 23:00
422,422,95,122,1.279,8,64,2,2018/12/2 0:00
423,423,83,135,1.248,8,54,6,2018/12/2 1:00
424,424,100,150,1.353,9,54,7,2018/12/2 2:00
425,425,111,159,1.536,10,59,5,2018/12/2 3:00
426,426,105,131,1.473,9,58,3,2018/12/2 4:00
427,427,112,157,1.442,9,57,3,2018/12/2 5:00
428,428,112,147,1.481,8,56,2,2018/12/2 6:00
429,429,108,140,1.478,9,55,3,2018/12/2 7:00
430,430,98,133,1.335,9,50,5,2018/12/2 8:00
431,431,77,134,1.233,9,47,7,2018/12/2 9:00
432,432,63,90,1.233,8,45,9,2018/12/2 10:00
433,433,81,99,1.283,8,49,8,2018/12/2 11:00
434,434,82,108,1.334,8,53,11,2018/12/2 12:00
435,435,73,81,1.352,8,52,11,2018/12/2 13:00
436,436,72,81,1.414,8,51,14,2018/12/2 14:00
437,437,72,83,1.423,8,56,10,2018/12/2 15:00
438,438,77,79,1.523,8,58,4,2018/12/2 16:00
439,439,64,66,1.371,8,52,8,2018/12/2 17:00
440,440,62,66,1.406,8,56,4,2018/12/2 18:00
441,441,65,72,1.398,8,53,4,2018/12/2 19:00
442,442,54,66,1.3,7,52,3,2018/12/2 20:00
443,443,69,76,1.353,8,53,2,2018/12/2 21:00
444,444,70,69,1.55,8,53,2,2018/12/2 22:00
445,445,69,77,1.513,8,51,2,2018/12/2 23:00
446,446,71,74,1.593,9,54,2,2018/12/3 0:00
447,447,68,90,1.553,9,51,2,2018/12/3 1:00
448,448,76,79,1.474,8,50,2,2018/12/3 2:00
449,449,75,84,1.529,8,46,2,2018/12/3 3:00
450,450,76,89,1.492,8,38,3,2018/12/3 4:00
451,451,103,140,1.548,8,38,3,2018/12/3 5:00
452,452,111,158,1.645,8,39,2,2018/12/3 6:00
453,453,110,150,1.879,8,41,3,2018/12/3 7:00
454,454,109,140,1.877,10,45,3,2018/12/3 8:00
455,455,130,168,1.888,10,47,4,2018/12/3 9:00
456,456,152,194,1.908,10,47,3,2018/12/3 10:00
457,457,143,175,1.743,10,46,4,2018/12/3 11:00
458,458,152,182,1.641,10,42,6,2018/12/3 12:00
459,459,137,168,1.388,10,37,10,2018/12/3 13:00
460,460,129,145,1.274,9,38,9,2018/12/3 14:00
461,461,111,129,1.208,9,39,14,2018/12/3 15:00
462,462,100,124,1.304,8,43,10,2018/12/3 16:00
463,463,103,123,1.429,8,47,5,2018/12/3 17:00
464,464,107,122,1.455,8,50,4,2018/12/3 18:00
465,465,91,116,1.44,8,49,2,2018/12/3 19:00
466,466,93,91,1.336,8,42,3,2018/12/3 20:00
467,467,56,50,1.307,7,36,3,2018/12/3 21:00
468,468,33,37,1.377,7,36,2,2018/12/3 22:00
469,469,6,21,1.343,7,31,3,2018/12/3 23:00
470,470,22,6,1.39,7,30,4,2018/12/4 0:00
471,471,40,28,2.011,6,37,2,2018/12/4 1:00
472,472,13,15,2.123,6,33,4,2018/12/4 2:00
473,473,12,10,1.743,6,29,5,2018/12/4 3:00
474,474,12,9,1.032,7,18,17,2018/12/4 4:00
475,475,10,8,0.974,7,20,19,2018/12/4 5:00
476,476,11,12,0.949,6,23,18,2018/12/4 6:00
477,477,12,12,0.964,6,27,19,2018/12/4 7:00
478,478,7,13,0.974,6,27,22,2018/12/4 8:00
479,479,33,33,0.929,6,27,25,2018/12/4 9:00
480,480,47,62,0.868,6,24,32,2018/12/4 10:00
481,481,49,78,0.803,7,27,29,2018/12/4 11:00
482,482,54,95,0.744,7,23,32,2018/12/4 12:00
483,483,48,79,0.732,7,25,27,2018/12/4 13:00
484,484,38,74,0.654,7,25,29,2018/12/4 14:00
485,485,24,56,0.631,7,32,24,2018/12/4 15:00
486,486,26,53,0.651,7,34,21,2018/12/4 16:00
487,487,24,62,0.663,7,32,24,2018/12/4 17:00
